p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
-33.7129898071289,-1.38447117805481,-3.92412005112419e-08,-28.778902053833,-37.8485412597656,-23.7378349304199,-35.3171806335449,-31.2927932739258,-3.47704622072342e-06,-17.8185539245605,-17.5911026000977,-44.9477729797363,-7.42268419265747,-16.6640186309814
-33.8173713684082,-1.40388357639313,-3.92412005112419e-08,-28.8310604095459,-37.8737525939941,-23.8143730163574,-35.3491477966309,-31.3322887420654,-3.47704622072342e-06,-17.8516998291016,-17.6549797058105,-44.9524993896484,-7.500892162323,-16.7403621673584
-33.9183654785156,-1.42328691482544,-3.92412005112419e-08,-28.8810005187988,-37.8974418640137,-23.8883819580078,-35.3793258666992,-31.3698120117188,-3.47704622072342e-06,-17.8834457397461,-17.7168941497803,-44.9567985534668,-7.57848644256592,-16.8146686553955
-34.0160789489746,-1.44268107414246,-3.92412005112419e-08,-28.9288158416748,-37.9197006225586,-23.9599456787109,-35.4078140258789,-31.4054622650146,-3.47704622072342e-06,-17.9138526916504,-17.7769069671631,-44.9607086181641,-7.65547180175781,-16.8869915008545
-34.1106185913086,-1.46206617355347,-3.92412005112419e-08,-28.9745979309082,-37.940616607666,-24.029146194458,-35.4347076416016,-31.4393348693848,-3.47704622072342e-06,-17.9429759979248,-17.8350772857666,-44.9642639160156,-7.73185348510742,-16.9573860168457
-34.2020874023438,-1.48144221305847,-3.92412005112419e-08,-29.0184307098389,-37.9602699279785,-24.0960597991943,-35.4600944519043,-31.4715175628662,-3.47704622072342e-06,-17.9708690643311,-17.8914604187012,-44.9674987792969,-7.80763578414917,-17.0259017944336
-34.2905883789062,-1.50080919265747,-3.92412005112419e-08,-29.0604000091553,-37.9787368774414,-24.1607646942139,-35.4840621948242,-31.5020923614502,-3.47704622072342e-06,-17.9975852966309,-17.9461135864258,-44.9704399108887,-7.88282346725464,-17.0925903320312
-34.3762130737305,-1.52016711235046,-3.92412005112419e-08,-29.1005840301514,-37.9960899353027,-24.223331451416,-35.5066871643066,-31.5311431884766,-3.47704622072342e-06,-18.02317237854,-17.9990882873535,-44.9731140136719,-7.95742130279541,-17.1574993133545
-34.4590606689453,-1.53951597213745,-3.92412005112419e-08,-29.1390571594238,-38.0123977661133,-24.2838306427002,-35.5280456542969,-31.558744430542,-3.47704622072342e-06,-18.047679901123,-18.0504360198975,-44.9755477905273,-8.03143405914307,-17.2206783294678
-34.5392150878906,-1.55885577201843,-3.92412005112419e-08,-29.175895690918,-38.027717590332,-24.3423328399658,-35.5482063293457,-31.5849666595459,-3.47704622072342e-06,-18.0711517333984,-18.1002063751221,-44.9777603149414,-8.10486602783203,-17.2821712493896
-34.6167678833008,-1.57818651199341,-3.92412005112419e-08,-29.2111663818359,-38.0421142578125,-24.3989028930664,-35.5672416687012,-31.6098804473877,-3.47704622072342e-06,-18.0936336517334,-18.1484489440918,-44.9797744750977,-8.17772197723389,-17.3420238494873
-34.6918029785156,-1.59750819206238,-3.92412005112419e-08,-29.2449359893799,-38.0556411743164,-24.4536037445068,-35.5852088928223,-31.6335525512695,-3.47704622072342e-06,-18.1151657104492,-18.1952095031738,-44.9816055297852,-8.2500057220459,-17.4002799987793
-34.7644004821777,-1.61682081222534,-3.92412005112419e-08,-29.2772693634033,-38.0683517456055,-24.5064964294434,-35.6021728515625,-31.656042098999,-3.47704622072342e-06,-18.1357898712158,-18.2405338287354,-44.983268737793,-8.32172298431396,-17.4569816589355
-34.8346405029297,-1.6361243724823,-3.92412005112419e-08,-29.3082275390625,-38.0802955627441,-24.5576419830322,-35.6181869506836,-31.6774101257324,-3.47704622072342e-06,-18.1555423736572,-18.2844657897949,-44.9847831726074,-8.39287757873535,-17.512170791626
-34.9025993347168,-1.65541887283325,-3.92412005112419e-08,-29.3378677368164,-38.0915184020996,-24.6070995330811,-35.6333045959473,-31.6977119445801,-3.47704622072342e-06,-18.1744613647461,-18.3270492553711,-44.9861602783203,-8.46347332000732,-17.5658874511719
-34.9683532714844,-1.6747043132782,-3.92412005112419e-08,-29.366247177124,-38.1020660400391,-24.6549224853516,-35.647575378418,-31.7169990539551,-3.47704622072342e-06,-18.1925811767578,-18.3683242797852,-44.9874114990234,-8.53351497650146,-17.6181716918945
-35.0319709777832,-1.69398081302643,-3.92412005112419e-08,-29.3934192657471,-38.1119766235352,-24.7011661529541,-35.6610450744629,-31.7353248596191,-3.47704622072342e-06,-18.2099361419678,-18.408332824707,-44.9885482788086,-8.60300731658936,-17.6690616607666
-35.0935211181641,-1.71324825286865,-3.92412005112419e-08,-29.4194355010986,-38.1212882995605,-24.7458820343018,-35.6737632751465,-31.7527370452881,-3.47704622072342e-06,-18.2265586853027,-18.4471111297607,-44.9895820617676,-8.67195510864258,-17.7185935974121
-35.153076171875,-1.73250663280487,-3.92412005112419e-08,-29.4443454742432,-38.1300392150879,-24.7891216278076,-35.6857681274414,-31.7692794799805,-3.47704622072342e-06,-18.2424793243408,-18.4846992492676,-44.9905242919922,-8.74036121368408,-17.7668037414551
-35.2106971740723,-1.75175595283508,-3.92412005112419e-08,-29.4681949615479,-38.1382598876953,-24.8309326171875,-35.6971015930176,-31.7849960327148,-3.47704622072342e-06,-18.2577266693115,-18.5211334228516,-44.991382598877,-8.80823135375977,-17.8137283325195
