p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.7577056884766,-18.4133453369141,-23.6498241424561,-18.5570812225342,-16.7202949523926,-16.5008945465088,-8.97477245330811,-17.8155002593994,-28.5626049041748,-24.8362083435059,-23.8874282836914,-16.9926280975342,-6.97751665115356,-23.1790466308594,-11.6512575149536
-36.8222503662109,-18.6263275146484,-23.7558574676514,-18.7646751403809,-16.7581195831299,-16.6579971313477,-9.02196311950684,-17.9549427032471,-28.6665744781494,-24.8690586090088,-24.0241813659668,-17.1755046844482,-7.04452180862427,-23.4110698699951,-11.8073310852051
-36.8834648132324,-18.8376026153564,-23.8582611083984,-18.9705104827881,-16.7940502166748,-16.8126983642578,-9.06770706176758,-18.0915508270264,-28.7665138244629,-24.8999080657959,-24.1570148468018,-17.3561744689941,-7.11047506332397,-23.6397609710693,-11.9625844955444
-36.9415168762207,-19.0471839904785,-23.9571590423584,-19.1746063232422,-16.8281803131104,-16.9650363922119,-9.11205005645752,-18.2253799438477,-28.8625793457031,-24.9288768768311,-24.2860412597656,-17.5346641540527,-7.17539310455322,-23.8651676177979,-12.1170215606689
-36.9965705871582,-19.2550868988037,-24.0526695251465,-19.3769779205322,-16.8606014251709,-17.115047454834,-9.15503406524658,-18.3564891815186,-28.9549217224121,-24.9560813903809,-24.4113712310791,-17.7109985351562,-7.23929214477539,-24.0873374938965,-12.2706470489502
-37.0487823486328,-19.4613227844238,-24.1449108123779,-19.5776424407959,-16.8913993835449,-17.2627658843994,-9.19670104980469,-18.4849319458008,-29.0436859130859,-24.9816284179688,-24.5331077575684,-17.8852043151855,-7.3021879196167,-24.3063163757324,-12.4234647750854
-37.0982971191406,-19.6659069061279,-24.2339935302734,-19.7766132354736,-16.920654296875,-17.4082260131836,-9.23709106445312,-18.6107635498047,-29.1290092468262,-25.0056190490723,-24.6513557434082,-18.0573081970215,-7.36409616470337,-24.5221519470215,-12.575478553772
-37.1452560424805,-19.8688507080078,-24.3200263977051,-19.9739074707031,-16.9484424591064,-17.5514640808105,-9.27624416351318,-18.7340354919434,-29.2110252380371,-25.028148651123,-24.7662143707275,-18.2273349761963,-7.42503261566162,-24.7348880767822,-12.7266931533813
-37.1897926330566,-20.0701694488525,-24.403112411499,-20.1695404052734,-16.9748401641846,-17.6925144195557,-9.3141975402832,-18.8548011779785,-29.2898635864258,-25.0493049621582,-24.8777809143066,-18.3953094482422,-7.48501253128052,-24.9445686340332,-12.8771133422852
-37.2320289611816,-20.2698745727539,-24.4833545684814,-20.363525390625,-16.9999141693115,-17.8314094543457,-9.35098743438721,-18.9731121063232,-29.3656463623047,-25.0691738128662,-24.9861507415771,-18.56125831604,-7.54405117034912,-25.151237487793,-13.0267429351807
-37.2720832824707,-20.4679794311523,-24.560848236084,-20.5558776855469,-17.0237331390381,-17.9681816101074,-9.38665008544922,-19.0890159606934,-29.4384918212891,-25.0878314971924,-25.0914134979248,-18.7252044677734,-7.60216283798218,-25.3549385070801,-13.1755857467651
-37.3100700378418,-20.6644973754883,-24.6356887817383,-20.7466125488281,-17.0463581085205,-18.1028633117676,-9.42122077941895,-19.202564239502,-29.5085124969482,-25.1053524017334,-25.193660736084,-18.887170791626,-7.65936231613159,-25.5557155609131,-13.3236455917358
-37.3460960388184,-20.8594417572021,-24.7079677581787,-20.9357433319092,-17.067850112915,-18.2354869842529,-9.45473194122314,-19.3138027191162,-29.5758209228516,-25.12180519104,-25.2929763793945,-19.0471820831299,-7.71566390991211,-25.7536087036133,-13.4709272384644
-37.3802604675293,-21.0528240203857,-24.7777709960938,-21.1232833862305,-17.0882663726807,-18.3660850524902,-9.48721599578857,-19.4227809906006,-29.6405200958252,-25.1372566223145,-25.3894462585449,-19.2052631378174,-7.77108144760132,-25.9486598968506,-13.6174345016479
-37.4126625061035,-21.2446575164795,-24.8451843261719,-21.3092479705811,-17.1076602935791,-18.4946880340576,-9.51870441436768,-19.5295429229736,-29.7027111053467,-25.1517658233643,-25.4831504821777,-19.3614368438721,-7.82562923431396,-26.1409091949463,-13.7631721496582
-37.4433898925781,-21.4349536895752,-24.9102897644043,-21.4936504364014,-17.1260814666748,-18.6213245391846,-9.54922866821289,-19.6341342926025,-29.7624931335449,-25.1653919219971,-25.5741691589355,-19.5157241821289,-7.87932062149048,-26.3303985595703,-13.9081430435181
-37.4725303649902,-21.6237258911133,-24.973165512085,-21.6765041351318,-17.1435794830322,-18.7460269927979,-9.57881736755371,-19.7365989685059,-29.8199577331543,-25.1781883239746,-25.6625804901123,-19.6681499481201,-7.93216943740845,-26.5171661376953,-14.0523519515991
-37.5001678466797,-21.8109855651855,-25.0338897705078,-21.8578224182129,-17.1602020263672,-18.868824005127,-9.60749912261963,-19.8369789123535,-29.8751945495605,-25.1902046203613,-25.7484569549561,-19.8187370300293,-7.98418855667114,-26.7012519836426,-14.1958026885986
-37.5263786315918,-21.9967441558838,-25.0925350189209,-22.037618637085,-17.1759910583496,-18.9897441864014,-9.63530254364014,-19.9353179931641,-29.9282913208008,-25.201488494873,-25.8318729400635,-19.9675064086914,-8.03539085388184,-26.8826942443848,-14.3384990692139
-37.5512351989746,-22.1810150146484,-25.1491718292236,-22.2159042358398,-17.190990447998,-19.1088161468506,-9.66225433349609,-20.0316581726074,-29.9793300628662,-25.212085723877,-25.9128971099854,-20.11448097229,-8.08578968048096,-27.0615310668945,-14.4804458618164
-37.5748062133789,-22.3638095855713,-25.2038688659668,-22.3926944732666,-17.2052383422852,-19.2260704040527,-9.68838024139404,-20.1260395050049,-30.0283908843994,-25.2220363616943,-25.9916000366211,-20.2596817016602,-8.13539695739746,-27.2378005981445,-14.6216459274292
-37.5971603393555,-22.5451393127441,-25.2566928863525,-22.568000793457,-17.2187728881836,-19.34153175354,-9.71370506286621,-20.2185020446777,-30.0755500793457,-25.2313823699951,-26.0680465698242,-20.4031295776367,-8.18422603607178,-27.4115371704102,-14.7621040344238
-37.6183624267578,-22.7250175476074,-25.3077087402344,-22.7418365478516,-17.2316284179688,-19.455228805542,-9.73825454711914,-20.3090839385986,-30.1208801269531,-25.2401580810547,-26.1423015594482,-20.5448455810547,-8.2322883605957,-27.5827789306641,-14.9018230438232
-37.6384696960449,-22.9034538269043,-25.3569774627686,-22.914213180542,-17.2438411712646,-19.5671882629395,-9.76205158233643,-20.3978233337402,-30.1644535064697,-25.2483997344971,-26.2144298553467,-20.6848526000977,-8.27959632873535,-27.7515621185303,-15.040807723999
-37.6575355529785,-23.0804615020752,-25.4045600891113,-23.0851440429688,-17.2554416656494,-19.6774387359619,-9.78511905670166,-20.4847583770752,-30.2063388824463,-25.256139755249,-26.2844905853271,-20.823169708252,-8.32616138458252,-27.9179210662842,-15.1790618896484
