rot,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17
baseline,-5.97009227018924,1.82769631699198,9.24255396328994,2.72778803911888,-2.01100218796226,1.85303127096094,2.31061751716129,-9.34557692098457,0.110508093864888,2.64872425778476,2.34144237942473,-2.45101310486333,1.42260083899944,-2.76357890037157,6.83541884097505,-2.49536686487514,3.11105987353788
baseline,-0.0274887950273554,-2.45490025655868,-0.633819084709224,10.4518052436627,8.91072192083445,6.14894603248304,-1.74020784083417,-4.58309936475291,-0.696493668686491,9.82887053183081,3.43952193839231,1.43608458268357,-0.71077338515521,-1.16912184757429,-2.01100218796226,3.51066236712567,-4.04020401840419
baseline,1.82335255314595,-3.72159809791806,-0.565751845681199,9.74527898404542,9.95891960720374,2.84851689143233,4.52562308153088,1.65307664190549,2.74313845375797,4.22016983269954,7.83796863818283,2.05407025300086,-0.127028755587904,6.70678103336019,3.58524294506186,3.02195955913277,-2.4490413325313
baseline,1.87210650978384,4.05445737695709,-3.47501844659514,-0.267061950706089,1.93856509742109,-5.63482462557583,17.256148391165,8.58917068737788,1.63056020514622,0.144549211491896,7.8625527089731,6.15856022970476,1.5450005444778,7.79267054904006,10.7992405923375,10.5678423177207,0.568871351800921
baseline,-10.6964418528763,-0.890188142974171,4.71575580049989,0.719442046452443,3.95833039634791,-0.881675324903707,9.15075727401777,-3.14609154833464,1.2314214647699,4.77133510047148,-7.2218275545196,-2.28945064600429,14.3561605685277,6.89715139564784,9.07453026032678,-1.99075991688832,4.10511369595232
baseline,-2.24793192846681,-6.87900447232884,-4.21624253042085,-1.50624366132983,-1.56138195336038,3.88064024311907,-1.7865895607279,1.58035105389369,3.25371487517322,6.65560710908566,7.86352761359326,14.7015503822672,4.36319516858243,3.56943563597229,1.92178163262673,1.1821292800613,2.67265393973212
baseline,-1.0902973474913,8.58917068737788,1.52667663785872,2.06387961182447,8.46875719945584,-6.05306625815078,11.0825521556119,0.831628997400789,-3.2067615040733,2.89555885372864,3.50457680346861,-1.69548212703105,3.55059734523389,8.36477522366527,-2.1949114337938,6.04634268809566,4.66259103798101
baseline,2.83933538113769,-3.64081096635056,-1.24741127451957,1.89600521536827,10.5712086645316,-0.378223466966606,0.262249798040663,2.85206382291821,-0.504295558069007,2.09928516037258,1.89644087327209,-4.60316625741284,3.4190369243958,3.95249718411332,8.81325175052337,1.74844517504188,6.09345563445447
baseline,1.51618037659742,-5.23954368542924,-6.47009854827215,-2.67265393973209,-1.94225083744287,3.51791329332123,0.465114043407131,-3.01281029586455,7.03256652923576,0.608452472074986,1.3836068786821,-2.38097945396252,1.89501318361683,6.52265336702217,3.25595345141915,-2.87490683033182,1.12932494927221
baseline,7.75128957180117,-6.53922097395556,7.56123979193248,2.74313845375797,9.47561386306826,-9.59279122734352,9.55356446592456,6.17889800306876,7.48127989656501,3.3709680515969,4.77806414430758,4.2770225985205,-0.423521317709062,0.771155618055962,1.15650283618358,4.38477840534811,3.22812403616137
baseline,2.1417554624284,1.07758107126291,-0.50480182258186,-3.51016956333515,5.93364531498575,2.67265393973212,3.58524294506186,1.68703274803015,2.72778803911888,5.98049165766497,3.46838790632625,-0.560315014443715,-2.31599602709842,3.90726238123862,-5.62446234909726,1.06501255385555,0.410341258886795
