rot,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24
baseline,4.63842939187435,8.70384238751479,-17.3784172253612,2.76724686150692,0.428990674866009,-6.15293503361812,6.65651521494832,1.18837209216838,0.128014090956892,11.9977180483087,-2.16464588108528,-1.56329074431847,4.97213599464554,-0.350326256108292,2.9929689571642,9.64993226974958,5.94714042040014,-2.28964815958184,6.94769449030207,-2.26511898400466,9.94531592697598,1.85651679703582,-9.69725771943608,-1.5096192567141
baseline,6.78827358208118,2.85871102403425,10.4786647941856,-3.10196626522078,2.38278100909779,7.61819544258777,3.82160067285492,7.05613479187832,3.20940075588125,-6.85012092859797,4.14393140755031,-3.71922866182367,-5.30195014650317,9.30685925428662,-3.98511820315126,5.26138896867012,4.56703032606943,4.47060754259244,0.654517621253283,6.03591921649934,5.36410832755906,2.51502728679425,9.6125345534224,-1.80272822571824
baseline,0.169569499904515,4.21166770757158,3.64081096635057,7.91947431673953,2.20288794988695,3.63678903811305,11.9776970228937,11.4307080969045,0.519495861381176,-8.56888971615522,-6.94909745991262,-1.02902076827057,6.2047056008628,-3.86386372930677,3.81131091427257,-1.66744309692336,3.73549904956405,-7.54634264320482,2.35405855224012,-0.937395410972523,3.02421484715365,-3.20808515507458,12.7439597260042,2.43674106017125
baseline,0.48419793076098,5.34447613349808,-7.09283729704155,8.56877118140775,-4.81854782297536,2.68327456920627,20.7349957505823,5.55031394160104,4.700024001807,-4.53619749060273,-6.78583690759383,7.00130457635326,-0.328591002430608,6.27794322667827,-6.7294597573134,3.95456076260608,-5.11327413706381,-2.4939125237405,-7.50495736207993,0.246622526938027,-15.8198995920506,19.2477756537502,-6.13189266995751,-1.64744686344347
baseline,-7.80005153857419,0.291633363684703,1.35710746945846,1.12988074617052,-2.33469893930813,5.4719643503033,10.4692042804806,1.34923392742454,2.99488997608661,-2.26742761255031,-5.4712863712087,3.46211726385912,0.970224650254868,9.79707001434595,5.24505315088845,-1.32726197048192,-6.7597632181713,-5.14270344483641,10.9885900782485,3.2392445656979,3.35390065020818,-11.3691526214667,2.68327456920627,-7.68854564816857
baseline,10.7304809828445,0.546437067649422,2.01225078776518,-2.36468172958711,3.06152298974428,4.43744260231712,0.0561099313624596,4.30969476532901,1.7057313625567,4.75044451487748,2.42359901112334,-4.36173635251812,-14.1958799935286,6.72571805882299,-2.76041499595098,4.75552594964784,0.412257282468157,4.17365409888421,3.39517343130996,0.70762955330928,-6.68204865028262,7.41488119600742,-0.187094576968969,2.06032918016192
baseline,11.2526706809071,9.44080367855274,-8.53942399921907,5.38740041398495,-0.27581600213988,8.18908749347535,0.677382455462656,0.403724724206546,3.71841365335353,0.11496052055665,0.123886358201849,-5.42387462530902,-4.72932753694198,0.663628409940097,-6.68317561441375,-3.02421484715364,4.92447721051938,14.4339083404117,3.16121328462062,-5.36560346628318,-0.654517621253274,2.72270975069837,-3.26950708940128,15.3321845159694
baseline,2.61951142539499,3.62726423328131,6.80223894438064,-2.92087517074111,-4.59637619561208,6.08142068217992,-0.293517360222042,-2.95614114787452,-10.4742568558375,-8.26319256978012,8.13723371706613,0.0628001839958818,-4.52474791230162,6.8957239636774,1.30928056099541,-2.2762796425165,1.2379142641693,3.20808515507459,-4.55758212926235,5.06694972849003,-1.72246244462704,-3.87857752264965,2.2884349431416,1.51094757181763
baseline,4.27000720511735,-1.05178807973487,-9.3708832732482,-1.00806005858926,-11.3249921551019,1.94209528875861,6.66929101424988,-3.7958629872705,4.77509203939215,-10.7198883589609,-6.78772736799497,-1.43811575994765,-7.10287129494739,3.35335656099544,-2.2313620154493,6.61122474852659,-2.39555311967529,1.02506426435329,-4.40429671758903,-2.88948490144121,3.64786023614769,-3.12279117962148,1.82700335273482,8.76031466726293
baseline,4.85008155433709,0.416797736193031,-1.75135610134702,-0.453434887125365,-0.970224650254875,14.2280148617137,24.1049651411831,3.5948685185839,5.66463751010846,6.94360429380663,-5.04014757308621,-5.39342352679626,-1.56329074431847,9.57929995384836,-0.21116023065539,2.38680739332675,1.60889188897087,-4.85138699742753,7.86920359329401,8.57962419979358,-12.5569355981631,-5.33871957849164,1.58571861948882,0.908824184926899
